
1. Czesław Niemen,Dziwny jest ten świat	
2. Anna Jantar,Tyle słońca w całym mieście	
3. Budka Suflera,Jolka, Jolka pamiętasz	
4. Dżem,Whisky
5. Perfect,Autobiografia 
7. Bajm,Józek, nie daruję Ci tej nocy 
8. Edyta Górniak,To nie ja
9. Universe,Mr. Lennon	
11. Czesław Niemen,Sen o Warszawie 
12. Republika,Nie pytaj o Polskę 
13. Lombard,Przeżyj to sam 
14. Chłopcy z Placu Broni,Kocham Cię 
15. Perfect,Chcemy być sobą
16. Breakout,Gdybyś kochał, hej 
17. Perfect,Nie płacz Ewka	
18. Bajm,Nie ma wody na pustyni	
19. Aya RL,Skóra	
20. Maryla Rodowicz,Kolorowe jarmarki	
21. Ira i przyjaciele,Wiara	
22. Dżem,Wehikuł czasu	
23. Kult,Polska	
24. Zdzisława Sośnicka,Aleja gwiazd	
25. Róże Europy,Jedwab	
26. Lady Pank,Zawsze tam gdzie Ty	
27. Varius Manx,Orła cień	
28. Kobranocka,Kocham cię jak Irlandię	
29. Czerwone Gitary,Kwiaty we włosach	
30. Halina Frąckowiak,Papierowy księżyc	
31. Oddział Zamknięty, Andzia	
32. De Mono,Kochać inaczej	
33. Maanam,Lucciola	
34. Edyta Bartosiewicz i Krzysztof Krawczyk,Trudno tak	
35. Papa Dance,O-La-La	
36. Halina Frąckowiak,Serca gwiazd	
37. Piotr Szczepanik,Goniąc kormorany	
38. Edyta Górniak i Mietek Szcześniak,Dumka na dwa serca	
39. Krzysztof Krawczyk,Zatańczysz ze mną jeszcze raz	
40 Hey i Przyjaciele,Moja i Twoja nadzieja	
41. Krystyna Prońko,Jesteś lekiem na całe zło	
42. Lombard,Szklana pogoda	
43. Urszula,Dmuchawce, latawce, wiatr 
44. Dżem,List do M	
45. Varius Manx,Piosenka księżycowa	
46. Piotr Szczepanik,Kochać	
47. Kombi,Black and White	
48. Andrzej Zaucha,Byłaś serca biciem	
49. Kult,Baranek	
50. Varius Manx,Zanim zrozumiesz	
51. Kombi,Słodkiego miłego życia	
52. Maanam,Szminka na szklance	
53. Stachursky,Typ niepokorny 
54. Papa Dance,Naj Story 
55. Budka Suflera,Bal wszystkich świętych	
56. Anna Jantar,Najtrudniejszy pierwszy krok	
58. T.Love,Warszawa	
59. Lady Pank,Tacy sami	
60. Czerwone Gitary,Nie spoczniemy	
61. Urszula Sipińska,Cudownych rodziców mam	
62. Wilki,Baśka
63. Golden,Life Oprócz	
64. Lady Pank,Fabryka małp	
65. Artur Gadowski,Ona jest ze snu	
66. Anna Jantar,Staruszek świat	
67. Urszula,Malinowy Król	
68. Czerwone Gitary,Historia jednej znajomości	
69. Ira,Nadzieja	
70. Seweryn Krajewski, Uciekaj moje serce	
71. Krystyna Giżowska,Nie było Ciebie tyle lat	
72. Kombi,Nasze rendez-vous	
73. Happy End,Jak się masz kochanie	
74. Lady Pank,Kryzysowa narzeczona	
75. Krzysztof Krawczyk i Goran Bregovic,Mój przyjacielu	
76. Maanam,Wyjątkowo zimny maj	
77. Wilki,Eli lama sabachtani	
78. Lady Pank,Vademecum skauta	
79. Budka Suflera,Takie tango	
80. Bolter,Daj mi tę noc 
81. Anna Jantar,Za każdy uśmiech	
82. Ryszard Rynkowski,Szczęśliwej drogi już czas	
83. Kombii,Pokolenie	
84. O.N.A.,Kiedy powiem sobie dość	
85. Krzysztof Krawczyk,Bo jesteś ty	
86. Edyta Geppert,Jaka róża, taki cierń	
87. Marek Biliński,Ucieczka z tropiku	
88. Anna Jantar, Jambalaya	
89. Wojciech Gąssowski,Gdzie się podziały tamte prywatki	
90. Dżem,Sen o Victorii 
91. Ziyo,Magiczne słowa 
92. Bajm,Biała armia	
93. Halina Frąckowiak,Tin pan alley	
94. Alibabki,Kwiat jednej nocy	
95. Urszula,Konik na biegunach	
96. Izabela Trojanowska,Wszystko, czego dziś chcę	
97. Edyta Bartosiewicz,Sen 
98. Violetta Villas,Oczy czarne	
99. Bajm,Dwa serca dwa smutki 
100. Marek Grechuta,Niepewność
